Action Rotate,Action Translate,Action Scale,World Coordinates,Local Coordinates,Camera Projection Coordinates,Action Select,Lightning,Save Project,Open Project,Create Project,Reload Project,Undo Last Action,Redo Last Action,Open IDE,Reload Game,Build Project,Build N Run Project,Cancel Build,Create Package,Create Folder,Display Properties,Rename Package,Rename Folder,Delete Selected Item,Expand Asset Folders,Expand All,Collapse All,Show in Explorer
Girar,Mover,Redimensionar,Coordenadas Mundo,Local Coordinate,Camera Coordinates,Seleccionar,Luz,Grabar,Empezar,Crear Proyecto,Reload P,Undo Last Action,Rehacer,Abrir IDE,Recargar Juego,Contruir Proyecto,Construir y Correr,Cancelar Build,Package Create,Create Folder,Mostrar Propiedades,Renombrar Paquete,Package Folder,Borrar Item,Expandir Folder,Todos Expandir,All Collapse,Mostrar en Explorador
Rotar,Transladar,Escalar,World Coordinates,Local Coordinate,Coordenada Camara,Seleccionar,Light,Registrar,Open,Create Project,Proyecto Recargar,Undo Last Action,Redo Last Action,IDE,Juego Recargar,Contruir Proyecto,Construir y Correr,Build Cancel,Package Create,Folder Create,Mostrar Propiedades,Renombrar Paquete,Rename Folder,Item Delete,Expandir Folder,Expand All,All Collapse,Explorer Show
Rotar,Mover,Escalar,World View,Locales,Camara Coordenada,Destacar,Light,Save,Open,Create Project,Reload P,Deshacer,Rehacer,Open IDE,Game Reload,Build,Construir y Correr,Build Cancel,Paquete Crear,Crear Folder,Display Property,Renombrar Paquete,Renombrar Folder,Borrar Item,Expandir Folder,Todos Expandir,All Collapse,Mostrar en Explorador
Rotate,Mover,Escalar,Mundo,Locales,Camara,Destacar,Iluminacion,Grabar,Abrir,Create Project,Proyecto Recargar,Undo Last Action,Redo,IDE,Game Reload,Proyecto Construir,Build and Run,Build Cancel,Package Create,Create Folder,Display Property,Renombrar Paquete,Folder Renombrar,Item Borrar,Folder Expandir,Expandir Todos,All Collapse,Show in Explorer
Girar,Move,Calibrar,World Coordinate,Coordenadas Local,Camara Coordenada,Destacar,Light,Grabar,Open,Crear Proyecto,Proyecto Recargar,Deshacer,Redo,Abrir IDE,Juego Recargar,Contruir Proyecto,Contruir y Comenzar,Build Cancel,Paquete Crear,Folder Create,Display Property,Rename Package,Rename Folder,Item Delete,Expandir Folder,Expand All,Todos Collapsar,Explorador Mostrar
Voltear,Transladar,Redimensionar,Coordenadas Mundo,Local,Coordenadas Camara,Elegir,Luz,Registrar,Open,Create Project,Proyecto Recargar,Undo Last Action,Rehacer,Abrir IDE,Reload Game,Proyecto Construir,Build and Run,Cancelar Build,Crear Paquete,Create Folder,Property Display,Paquete Renombrar,Renombrar Folder,Delete Item,Folder Expandir,Expandir Todos,Collapsar Todos,Mostrar en Explorador
Girar,Translate,Escalar,Mundo,Local,Camara Coordenada,Elegir,Luz,Registrar,Iniciar,Create Project,Recargar Proyecto,Deshacer accion,Rehacer,Open IDE,Game Reload,Contruir Proyecto,Contruir y Comenzar,Cancelar Build,Package Create,Folder Create,Propiedades Mostrar,Rename Package,Package Folder,Item Borrar,Folder Expandir,Expand All,All Collapse,Mostrar en Explorador
Girar,Move,Calibrar,World View,Local Coordinate,Coordenada Camara,Destacar,Alumbrado,Grabar,Abrir,Create P,Reload Project,Undo Last Action,Rehacer accion,IDE,Reload Game,Contruir Proyecto,Build and Run,Build Cancelar,Package Create,Folder Crear,Propiedades Mostrar,Paquete Renombrar,Package Folder,Item Delete,Folder Expandir,Expandir Todos,Todos Collapsar,Mostrar en Explorador
Rotate,Move,Escalar,World View,Local,Camara,Seleccionar,Luz,Guardar,Open,Create Project,Reload P,Undo Last Action,Rehacer accion,Open IDE,Reload Game,Contruir Proyecto,Contruir y Comenzar,Build Cancelar,Create Package,Folder Create,Display Property,Paquete Renombrar,Package Folder,Item Borrar,Expandir Folder,Expandir Todos,Collapsar Todos,Mostrar en Explorador
Rotate,Transladar,Calibrar,World Coordinate,Local Coordinate,Coordenada Camara,Elegir,Luz,Grabar,Open,Create Project,Proyecto Recargar,Deshacer accion,Rehacer accion,IDE,Recargar Juego,Build,Build and Start,Cancelar Build,Paquete Crear,Folder Create,Propiedades Mostrar,Package Rename,Rename Folder,Item Borrar,Folder Expandir,All Expand,Collapsar Todos,Mostrar en Explorador
Rotate,Transladar,Redimensionar,Coordenada Mundo,Local,Camara,Destacar,Light,Grabar,Empezar,Create Project,Reload Project,Undo,Rehacer,IDE,Recargar Juego,Build Project,Contruir y Comenzar,Cancelar Build,Crear Paquete,Crear Folder,Propiedades Mostrar,Paquete Renombrar,Renombrar Folder,Item Borrar,Folder Expand,All Expand,All Collapse,Mostrar en Explorador
Rotate,Translate,Scale,Mundo,Local,Coordenadas Camara,Destacar,Iluminacion,Save,Iniciar,Create Project,Recargar Proyecto,Deshacer,Rehacer accion,IDE,Game Reload,Build Project,Contruir y Comenzar,Build Cancelar,Crear Paquete,Create Folder,Display Property,Paquete Renombrar,Folder Renombrar,Delete Item,Folder Expandir,Todos Expandir,Todos Collapsar,Explorer Show
Girar,Move,Calibrar,Coordenada Mundo,Coordenada Local,Camara Coordenada,Elegir,Light,Registrar,Open,Create Project,Reload P,Undo Last Action,Rehacer accion,Abrir IDE,Game Reload,Contruir Proyecto,Contruir y Comenzar,Build Cancelar,Crear Paquete,Folder Crear,Propiedades Mostrar,Renombrar Paquete,Package Folder,Delete Item,Expandir Folder,Expand All,All Collapse,Explorador Mostrar
Girar,Move,Redimensionar,Coordenadas Mundo,Locales,Coordenadas Camara,Destacar,Light,Guardar,Iniciar,Proyecto Crear,Proyecto Recargar,Deshacer,Redo Last Action,IDE,Game Reload,Contruir Proyecto,Contruir y Comenzar,Build Cancel,Paquete Crear,Folder Crear,Display Property,Renombrar Paquete,Folder Renombrar,Item Delete,Expandir Folder,Expand All,Todos Collapsar,Explorador Mostrar
Rotar,Move,Redimensionar,Coordenada Mundo,Coordenadas Local,Coordenadas Camara,Escoger,Luz,Guardar,Empezar,Proyecto Crear,Reload Project,Deshacer,Redo,Open IDE,Juego Recargar,Build,Contruir y Comenzar,Build Cancelar,Paquete Crear,Folder Crear,Display Property,Renombrar Paquete,Renombrar Folder,Delete Item,Expand Folder,Expand All,Collapsar Todos,Show in Explorer
Rotate,Translate,Scale,Coordenadas Mundo,Coordenadas Local,Coordenada Camara,Escoger,Iluminacion,Save,Iniciar,Create P,Recargar Proyecto,Deshacer,Rehacer,IDE,Game Reload,Proyecto Construir,Contruir y Comenzar,Build Cancelar,Paquete Crear,Folder Crear,Mostrar Propiedades,Package Rename,Package Folder,Item Delete,Folder Expandir,Expandir Todos,Todos Collapsar,Explorer Show
Girar,Transladar,Redimensionar,Mundo,Coordenada Local,Camara Coordenada,Destacar,Luz,Save,Open,Create Project,Recargar Proyecto,Undo,Rehacer accion,Open IDE,Game Reload,Contruir Proyecto,Construir y Correr,Build Cancelar,Package Create,Folder Create,Mostrar Propiedades,Package Rename,Rename Folder,Delete Item,Expandir Folder,Expandir Todos,All Collapse,Mostrar en Explorador
Girar,Mover,Scale,World Coordinate,Local,Camara,Seleccionar,Light,Guardar,Empezar,Create P,Proyecto Recargar,Deshacer accion,Rehacer accion,Abrir IDE,Recargar Juego,Proyecto Construir,Construir y Correr,Cancelar Build,Package Create,Folder Crear,Mostrar Propiedades,Paquete Renombrar,Renombrar Folder,Borrar Item,Expandir Folder,Expandir Todos,Todos Collapsar,Show in Explorer
Rotar,Move,Escalar,World View,Locales,Coordenadas Camara,Destacar,Alumbrado,Registrar,Empezar,Create P,Proyecto Recargar,Deshacer,Rehacer,Abrir IDE,Reload Game,Build Project,Construir y Correr,Cancel Build,Package Create,Folder Crear,Propiedades Mostrar,Package Rename,Package Folder,Item Borrar,Folder Expandir,Expand All,Todos Collapsar,Mostrar en Explorador
Girar,Move,Redimensionar,Coordenadas Mundo,Coordenadas Local,Coordenada Camara,Destacar,Alumbrado,Registrar,Abrir,Create P,Reload Project,Deshacer accion,Rehacer accion,IDE,Juego Recargar,Build,Contruir y Comenzar,Build Cancelar,Paquete Crear,Folder Create,Property Display,Rename Package,Renombrar Folder,Delete Item,Folder Expandir,All Expand,Collapse All,Show in Explorer
Rotar,Move,Escalar,World View,Local,Camara Coordenada,Escoger,Luz,Save,Iniciar,Crear Proyecto,Proyecto Recargar,Undo Last Action,Redo Last Action,Open IDE,Reload Game,Proyecto Construir,Build and Run,Build Cancelar,Paquete Crear,Folder Crear,Propiedades Mostrar,Package Rename,Folder Renombrar,Item Borrar,Expandir Folder,All Expand,All Collapse,Explorer Show
Voltear,Transladar,Escalar,World View,Coordenada Local,Camara Coordenada,Escoger,Light,Save,Open,Create P,Recargar Proyecto,Deshacer,Rehacer accion,Abrir IDE,Game Reload,Contruir Proyecto,Build and Start,Cancelar Build,Crear Paquete,Crear Folder,Mostrar Propiedades,Rename Package,Folder Renombrar,Borrar Item,Expandir Folder,All Expand,Todos Collapsar,Mostrar en Explorador
Rotate,Move,Redimensionar,Coordenadas Mundo,Local Coordinate,Camara,Escoger,Iluminacion,Save,Open,Create Project,Reload P,Undo Last Action,Rehacer accion,IDE,Juego Recargar,Proyecto Construir,Build and Run,Cancelar Build,Create Package,Folder Crear,Property Display,Package Rename,Folder Renombrar,Item Borrar,Folder Expandir,Todos Expandir,Todos Collapsar,Explorador Mostrar
Girar,Transladar,Scale,World View,Locales,Coordenada Camara,Escoger,Luz,Grabar,Open,Crear Proyecto,Reload P,Undo Last Action,Rehacer accion,IDE,Game Reload,Build Project,Construir y Correr,Cancel Build,Package Create,Create Folder,Property Display,Rename Package,Renombrar Folder,Item Borrar,Folder Expandir,All Expand,Collapsar Todos,Mostrar en Explorador
Voltear,Move,Redimensionar,World Coordinate,Local Coordinates,Camara,Escoger,Luz,Grabar,Empezar,Create Project,Reload P,Deshacer accion,Redo,Abrir IDE,Game Reload,Build,Construir y Correr,Cancelar Build,Crear Paquete,Crear Folder,Display Property,Renombrar Paquete,Renombrar Folder,Item Delete,Expand Folder,Expand All,Collapsar Todos,Mostrar en Explorador
Rotar,Translate,Scale,World Coordinates,Local,Camera Coordinates,Elegir,Light,Grabar,Empezar,Crear Proyecto,Reload Project,Undo,Rehacer accion,Open IDE,Game Reload,Build Project,Construir y Correr,Cancelar Build,Package Create,Crear Folder,Property Display,Renombrar Paquete,Package Folder,Borrar Item,Folder Expandir,Expand All,Collapsar Todos,Show in Explorer
Voltear,Mover,Redimensionar,World View,Locales,Camera Coordinates,Destacar,Luz,Save,Open,Proyecto Crear,Recargar Proyecto,Undo Last Action,Rehacer accion,IDE,Recargar Juego,Proyecto Construir,Contruir y Comenzar,Build Cancelar,Create Package,Folder Crear,Mostrar Propiedades,Renombrar Paquete,Package Folder,Item Borrar,Expand Folder,Todos Expandir,All Collapse,Explorador Mostrar
Rotate,Mover,Redimensionar,World View,Coordenada Local,Camara,Elegir,Luz,Registrar,Empezar,Create Project,Reload P,Undo,Rehacer,IDE,Game Reload,Proyecto Construir,Construir y Correr,Build Cancel,Paquete Crear,Folder Crear,Mostrar Propiedades,Package Rename,Renombrar Folder,Item Borrar,Expand Folder,All Expand,All Collapse,Explorador Mostrar
Girar,Mover,Scale,Mundo,Local Coordinate,Coordenadas Camara,Escoger,Light,Guardar,Abrir,Proyecto Crear,Reload Project,Deshacer accion,Redo Last Action,Open IDE,Reload Game,Build,Build and Start,Cancelar Build,Paquete Crear,Folder Crear,Mostrar Propiedades,Paquete Renombrar,Package Folder,Item Borrar,Expandir Folder,Expandir Todos,Collapse All,Explorer Show
Voltear,Mover,Escalar,Mundo,Local Coordinate,Coordenadas Camara,Elegir,Luz,Grabar,Open,Create P,Reload P,Undo,Rehacer accion,IDE,Game Reload,Proyecto Construir,Contruir y Comenzar,Build Cancelar,Crear Paquete,Folder Crear,Mostrar Propiedades,Paquete Renombrar,Renombrar Folder,Borrar Item,Folder Expand,Expandir Todos,Collapsar Todos,Show in Explorer
Rotar,Transladar,Redimensionar,World View,Coordenada Local,Camera Coordinates,Escoger,Luz,Registrar,Empezar,Create Project,Reload Project,Deshacer accion,Rehacer accion,Open IDE,Recargar Juego,Contruir Proyecto,Build and Start,Cancel Build,Crear Paquete,Create Folder,Property Display,Renombrar Paquete,Folder Renombrar,Item Borrar,Folder Expand,All Expand,Collapsar Todos,Show in Explorer
Voltear,Transladar,Calibrar,World View,Coordenadas Local,Camara Coordenadas,Destacar,Luz,Save,Iniciar,Create P,Reload P,Deshacer accion,Rehacer,Abrir IDE,Game Reload,Contruir Proyecto,Build and Run,Build Cancelar,Paquete Crear,Folder Create,Display Property,Package Rename,Folder Renombrar,Borrar Item,Expand Folder,Expandir Todos,Collapse All,Explorador Mostrar
Voltear,Mover,Redimensionar,World Coordinates,Local Coordinates,Camara Coordenadas,Elegir,Luz,Save,Iniciar,Create P,Reload Project,Deshacer accion,Rehacer accion,Abrir IDE,Game Reload,Contruir Proyecto,Contruir y Comenzar,Build Cancelar,Package Create,Crear Folder,Propiedades Mostrar,Paquete Renombrar,Folder Renombrar,Borrar Item,Folder Expand,Todos Expandir,Collapsar Todos,Show in Explorer
Voltear,Mover,Calibrar,World Coordinate,Locales,Camara Coordenadas,Destacar,Alumbrado,Grabar,Iniciar,Crear Proyecto,Proyecto Recargar,Undo,Rehacer accion,Abrir IDE,Juego Recargar,Contruir Proyecto,Construir y Correr,Build Cancelar,Paquete Crear,Folder Crear,Mostrar Propiedades,Renombrar Paquete,Rename Folder,Item Delete,Folder Expandir,Expand All,Collapsar Todos,Explorador Mostrar
Rotar,Translate,Calibrar,Coordenadas Mundo,Coordenadas Local,Camara,Escoger,Light,Guardar,Iniciar,Create Project,Reload P,Undo,Rehacer accion,Open IDE,Game Reload,Build Project,Contruir y Comenzar,Build Cancel,Paquete Crear,Create Folder,Mostrar Propiedades,Rename Package,Package Folder,Item Delete,Expand Folder,Expand All,Collapsar Todos,Mostrar en Explorador
Rotar,Move,Redimensionar,World View,Coordenadas Local,Coordenadas Camara,Escoger,Luz,Registrar,Abrir,Proyecto Crear,Proyecto Recargar,Deshacer accion,Rehacer,IDE,Juego Recargar,Build Project,Contruir y Comenzar,Cancelar Build,Package Create,Crear Folder,Property Display,Paquete Renombrar,Renombrar Folder,Borrar Item,Expand Folder,Todos Expandir,Todos Collapsar,Mostrar en Explorador
Rotar,Mover,Redimensionar,Coordenadas Mundo,Coordenadas Local,Camara Coordenada,Escoger,Luz,Grabar,Open,Crear Proyecto,Recargar Proyecto,Deshacer accion,Rehacer accion,Abrir IDE,Juego Recargar,Proyecto Construir,Build and Run,Build Cancelar,Package Create,Create Folder,Display Property,Rename Package,Renombrar Folder,Delete Item,Expand Folder,Expandir Todos,Todos Collapsar,Explorador Mostrar
Girar,Transladar,Calibrar,Coordenadas Mundo,Coordenadas Local,Camara Coordenadas,Escoger,Luz,Save,Iniciar,Create Project,Reload Project,Undo Last Action,Rehacer accion,Abrir IDE,Recargar Juego,Contruir Proyecto,Construir y Correr,Build Cancelar,Paquete Crear,Crear Folder,Property Display,Renombrar Paquete,Folder Renombrar,Item Borrar,Expandir Folder,All Expand,Collapsar Todos,Mostrar en Explorador
Voltear,Move,Redimensionar,World Coordinate,Local Coordinate,Camara Coordenada,Destacar,Iluminacion,Save,Iniciar,Create Project,Proyecto Recargar,Deshacer accion,Redo,Open IDE,Juego Recargar,Proyecto Construir,Build and Run,Cancel Build,Crear Paquete,Folder Crear,Mostrar Propiedades,Package Rename,Package Folder,Item Delete,Folder Expand,Todos Expandir,Collapsar Todos,Explorer Show
Girar,Mover,Redimensionar,Mundo,Coordenadas Local,Camera Coordinates,Seleccionar,Light,Guardar,Abrir,Create Project,Recargar Proyecto,Deshacer accion,Redo Last Action,Abrir IDE,Juego Recargar,Build,Build and Start,Cancel Build,Paquete Crear,Folder Crear,Propiedades Mostrar,Rename Package,Folder Renombrar,Borrar Item,Folder Expand,Expandir Todos,All Collapse,Show in Explorer
Rotar,Move,Escalar,World Coordinate,Local,Camera Coordinates,Escoger,Luz,Save,Open,Crear Proyecto,Reload P,Undo Last Action,Redo Last Action,Open IDE,Game Reload,Proyecto Construir,Build and Run,Cancelar Build,Create Package,Folder Crear,Propiedades Mostrar,Renombrar Paquete,Folder Renombrar,Borrar Item,Expandir Folder,All Expand,Collapse All,Explorador Mostrar
Voltear,Transladar,Scale,Mundo,Locales,Coordenadas Camara,Escoger,Light,Registrar,Open,Create Project,Proyecto Recargar,Deshacer,Redo,Open IDE,Recargar Juego,Proyecto Construir,Contruir y Comenzar,Build Cancel,Paquete Crear,Folder Create,Mostrar Propiedades,Rename Package,Renombrar Folder,Borrar Item,Expandir Folder,Todos Expandir,All Collapse,Show in Explorer
Voltear,Mover,Calibrar,World Coordinate,Locales,Camara Coordenada,Destacar,Alumbrado,Registrar,Iniciar,Create Project,Recargar Proyecto,Undo Last Action,Rehacer accion,Abrir IDE,Recargar Juego,Contruir Proyecto,Contruir y Comenzar,Cancelar Build,Paquete Crear,Folder Create,Propiedades Mostrar,Package Rename,Renombrar Folder,Item Delete,Folder Expandir,Expandir Todos,Todos Collapsar,Explorer Show
Rotate,Mover,Escalar,World View,Local Coordinate,Camara,Destacar,Light,Grabar,Open,Create P,Proyecto Recargar,Deshacer,Rehacer accion,Abrir IDE,Juego Recargar,Proyecto Construir,Build and Run,Cancelar Build,Crear Paquete,Folder Crear,Mostrar Propiedades,Renombrar Paquete,Folder Renombrar,Delete Item,Expandir Folder,Expand All,All Collapse,Mostrar en Explorador
Girar,Move,Escalar,Mundo,Local Coordinates,Camara Coordenadas,Escoger,Light,Grabar,Iniciar,Create Project,Reload Project,Undo Last Action,Redo Last Action,Abrir IDE,Reload Game,Contruir Proyecto,Contruir y Comenzar,Cancelar Build,Create Package,Create Folder,Property Display,Paquete Renombrar,Rename Folder,Borrar Item,Expand Folder,Expandir Todos,All Collapse,Show in Explorer
Girar,Translate,Scale,Coordenadas Mundo,Coordenada Local,Coordenada Camara,Destacar,Iluminacion,Grabar,Open,Proyecto Crear,Reload Project,Undo Last Action,Rehacer accion,Open IDE,Recargar Juego,Contruir Proyecto,Contruir y Comenzar,Cancel Build,Crear Paquete,Create Folder,Display Property,Paquete Renombrar,Renombrar Folder,Item Delete,Folder Expand,Expand All,All Collapse,Mostrar en Explorador
Voltear,Move,Scale,Coordenadas Mundo,Local,Coordenada Camara,Escoger,Iluminacion,Grabar,Open,Create P,Reload P,Undo Last Action,Rehacer accion,IDE,Game Reload,Build,Construir y Correr,Build Cancel,Crear Paquete,Folder Create,Property Display,Paquete Renombrar,Folder Renombrar,Item Delete,Folder Expand,Todos Expandir,Todos Collapsar,Explorador Mostrar
Girar,Move,Escalar,Mundo,Coordenada Local,Coordenadas Camara,Destacar,Light,Grabar,Open,Proyecto Crear,Reload P,Deshacer,Rehacer accion,IDE,Juego Recargar,Proyecto Construir,Build and Start,Cancel Build,Package Create,Folder Crear,Mostrar Propiedades,Renombrar Paquete,Renombrar Folder,Item Delete,Folder Expandir,Todos Expandir,All Collapse,Explorer Show
Rotate,Move,Calibrar,Coordenada Mundo,Local Coordinates,Camara Coordenadas,Destacar,Iluminacion,Save,Empezar,Create P,Reload Project,Deshacer accion,Redo Last Action,IDE,Juego Recargar,Proyecto Construir,Construir y Correr,Cancelar Build,Paquete Crear,Crear Folder,Propiedades Mostrar,Paquete Renombrar,Renombrar Folder,Delete Item,Expandir Folder,All Expand,Collapse All,Explorador Mostrar
Rotar,Transladar,Redimensionar,World View,Local Coordinate,Camara,Escoger,Light,Save,Iniciar,Create Project,Proyecto Recargar,Deshacer,Rehacer,Abrir IDE,Game Reload,Proyecto Construir,Construir y Correr,Cancelar Build,Create Package,Folder Crear,Propiedades Mostrar,Paquete Renombrar,Folder Renombrar,Borrar Item,Expand Folder,Todos Expandir,Todos Collapsar,Explorer Show
Girar,Mover,Escalar,Mundo,Coordenada Local,Coordenadas Camara,Seleccionar,Light,Save,Open,Create Project,Proyecto Recargar,Deshacer accion,Redo,IDE,Reload Game,Contruir Proyecto,Construir y Correr,Build Cancelar,Package Create,Crear Folder,Mostrar Propiedades,Package Rename,Renombrar Folder,Item Delete,Folder Expandir,All Expand,Collapse All,Mostrar en Explorador
Rotate,Transladar,Redimensionar,World View,Locales,Coordenadas Camara,Seleccionar,Iluminacion,Save,Empezar,Proyecto Crear,Reload Project,Deshacer,Redo Last Action,IDE,Juego Recargar,Build,Build and Start,Cancel Build,Crear Paquete,Folder Create,Propiedades Mostrar,Package Rename,Package Folder,Delete Item,Expand Folder,Expandir Todos,Collapsar Todos,Explorador Mostrar
Girar,Move,Escalar,Coordenadas Mundo,Locales,Coordenada Camara,Escoger,Light,Save,Open,Proyecto Crear,Reload Project,Undo,Redo,Abrir IDE,Game Reload,Build Project,Construir y Correr,Cancelar Build,Create Package,Folder Crear,Display Property,Renombrar Paquete,Folder Renombrar,Item Borrar,Folder Expandir,All Expand,Todos Collapsar,Explorador Mostrar
Rotate,Mover,Escalar,World Coordinate,Coordenada Local,Coordenadas Camara,Destacar,Alumbrado,Guardar,Abrir,Create Project,Reload Project,Deshacer accion,Rehacer accion,Abrir IDE,Recargar Juego,Build,Contruir y Comenzar,Cancelar Build,Paquete Crear,Folder Crear,Display Property,Renombrar Paquete,Folder Renombrar,Item Borrar,Expandir Folder,Expand All,Collapse All,Explorer Show
Rotate,Mover,Calibrar,Mundo,Coordenadas Local,Camara Coordenada,Escoger,Iluminacion,Registrar,Empezar,Create P,Reload Project,Undo Last Action,Redo Last Action,IDE,Game Reload,Contruir Proyecto,Contruir y Comenzar,Cancel Build,Paquete Crear,Crear Folder,Mostrar Propiedades,Paquete Renombrar,Renombrar Folder,Delete Item,Expandir Folder,Expandir Todos,All Collapse,Explorer Show
Rotate,Transladar,Redimensionar,World Coordinate,Coordenadas Local,Camara Coordenada,Escoger,Light,Grabar,Abrir,Crear Proyecto,Reload Project,Undo Last Action,Redo Last Action,Abrir IDE,Game Reload,Proyecto Construir,Construir y Correr,Cancel Build,Paquete Crear,Folder Crear,Display Property,Renombrar Paquete,Renombrar Folder,Item Borrar,Expandir Folder,All Expand,Collapse All,Mostrar en Explorador
Rotar,Mover,Redimensionar,Coordenadas Mundo,Local Coordinate,Camara Coordenada,Escoger,Iluminacion,Save,Open,Create P,Reload Project,Deshacer accion,Rehacer,IDE,Reload Game,Build,Contruir y Comenzar,Cancelar Build,Paquete Crear,Folder Crear,Property Display,Renombrar Paquete,Rename Folder,Item Borrar,Expandir Folder,Todos Expandir,Collapsar Todos,Explorador Mostrar
Rotar,Mover,Calibrar,World View,Local Coordinates,Camara Coordenada,Seleccionar,Light,Guardar,Iniciar,Create P,Recargar Proyecto,Deshacer accion,Rehacer accion,Abrir IDE,Game Reload,Proyecto Construir,Construir y Correr,Build Cancelar,Paquete Crear,Create Folder,Display Property,Package Rename,Renombrar Folder,Delete Item,Folder Expand,Expandir Todos,Collapse All,Explorador Mostrar
Voltear,Move,Calibrar,Coordenadas Mundo,Locales,Coordenadas Camara,Destacar,Luz,Registrar,Empezar,Create P,Recargar Proyecto,Deshacer accion,Rehacer accion,IDE,Juego Recargar,Proyecto Construir,Contruir y Comenzar,Cancelar Build,Crear Paquete,Create Folder,Mostrar Propiedades,Paquete Renombrar,Package Folder,Delete Item,Folder Expandir,Expandir Todos,All Collapse,Show in Explorer
Rotate,Mover,Calibrar,World Coordinate,Locales,Camara Coordenadas,Destacar,Light,Save,Iniciar,Crear Proyecto,Recargar Proyecto,Undo,Rehacer accion,Abrir IDE,Juego Recargar,Proyecto Construir,Contruir y Comenzar,Build Cancel,Crear Paquete,Folder Crear,Propiedades Mostrar,Package Rename,Package Folder,Delete Item,Folder Expandir,All Expand,Todos Collapsar,Show in Explorer
Voltear,Transladar,Calibrar,Mundo,Local Coordinates,Camera Coordinates,Escoger,Light,Registrar,Iniciar,Create Project,Reload P,Deshacer accion,Rehacer,Open IDE,Game Reload,Contruir Proyecto,Build and Run,Cancelar Build,Paquete Crear,Folder Crear,Display Property,Paquete Renombrar,Package Folder,Item Borrar,Expand Folder,Expandir Todos,Collapsar Todos,Explorador Mostrar
Girar,Move,Escalar,Mundo,Local Coordinates,Coordenada Camara,Elegir,Luz,Save,Iniciar,Create Project,Recargar Proyecto,Undo Last Action,Redo Last Action,IDE,Juego Recargar,Contruir Proyecto,Build and Run,Cancel Build,Create Package,Folder Crear,Display Property,Rename Package,Package Folder,Item Delete,Folder Expand,Expandir Todos,Todos Collapsar,Explorer Show
Rotate,Translate,Redimensionar,World Coordinate,Locales,Camara Coordenadas,Destacar,Iluminacion,Grabar,Open,Create Project,Recargar Proyecto,Deshacer accion,Rehacer,Abrir IDE,Reload Game,Proyecto Construir,Contruir y Comenzar,Build Cancel,Create Package,Folder Crear,Property Display,Renombrar Paquete,Folder Renombrar,Item Borrar,Folder Expand,Todos Expandir,Collapsar Todos,Show in Explorer
Voltear,Translate,Redimensionar,Mundo,Local,Coordenadas Camara,Destacar,Light,Save,Open,Crear Proyecto,Recargar Proyecto,Undo Last Action,Redo,IDE,Reload Game,Contruir Proyecto,Contruir y Comenzar,Build Cancel,Crear Paquete,Create Folder,Propiedades Mostrar,Paquete Renombrar,Rename Folder,Borrar Item,Expandir Folder,Expand All,Todos Collapsar,Mostrar en Explorador
Rotate,Mover,Calibrar,World Coordinate,Coordenadas Local,Coordenada Camara,Destacar,Light,Save,Iniciar,Create Project,Reload P,Deshacer accion,Rehacer accion,IDE,Game Reload,Build Project,Construir y Correr,Build Cancelar,Crear Paquete,Crear Folder,Display Property,Paquete Renombrar,Folder Renombrar,Delete Item,Folder Expand,Expandir Todos,Todos Collapsar,Show in Explorer
Rotar,Mover,Escalar,Coordenadas Mundo,Locales,Camara Coordenadas,Destacar,Light,Grabar,Empezar,Crear Proyecto,Proyecto Recargar,Undo Last Action,Redo Last Action,Abrir IDE,Juego Recargar,Contruir Proyecto,Construir y Correr,Cancel Build,Paquete Crear,Folder Create,Propiedades Mostrar,Package Rename,Renombrar Folder,Item Delete,Expandir Folder,Expand All,Todos Collapsar,Explorer Show
Voltear,Transladar,Escalar,Coordenada Mundo,Locales,Coordenadas Camara,Destacar,Luz,Grabar,Open,Crear Proyecto,Reload P,Undo Last Action,Rehacer accion,IDE,Game Reload,Build Project,Construir y Correr,Build Cancelar,Create Package,Create Folder,Propiedades Mostrar,Paquete Renombrar,Folder Renombrar,Borrar Item,Expandir Folder,Expandir Todos,Collapse All,Explorador Mostrar
Voltear,Translate,Calibrar,Mundo,Local,Coordenada Camara,Elegir,Light,Save,Iniciar,Create P,Reload Project,Undo Last Action,Rehacer accion,IDE,Juego Recargar,Proyecto Construir,Construir y Correr,Cancelar Build,Crear Paquete,Create Folder,Mostrar Propiedades,Rename Package,Package Folder,Item Borrar,Expandir Folder,All Expand,Collapsar Todos,Show in Explorer
Girar,Mover,Redimensionar,World View,Coordenadas Local,Coordenadas Camara,Escoger,Luz,Grabar,Open,Create Project,Proyecto Recargar,Undo,Redo Last Action,Open IDE,Game Reload,Proyecto Construir,Build and Start,Build Cancel,Crear Paquete,Crear Folder,Property Display,Package Rename,Renombrar Folder,Item Delete,Folder Expandir,Expand All,Collapsar Todos,Explorador Mostrar
Girar,Translate,Calibrar,Coordenada Mundo,Coordenadas Local,Camara Coordenadas,Seleccionar,Alumbrado,Save,Abrir,Create Project,Reload Project,Deshacer accion,Redo,Abrir IDE,Game Reload,Proyecto Construir,Contruir y Comenzar,Build Cancel,Paquete Crear,Folder Crear,Propiedades Mostrar,Rename Package,Package Folder,Delete Item,Folder Expandir,Todos Expandir,Collapsar Todos,Explorer Show
